comparison_type,parcel_id,map,block,lot,current_sale_price,current_sale_date,current_qualified,current_book_page,prior1_sale_price,prior1_sale_date,prior1_book_page,prior2_sale_price,prior2_sale_date,prior2_book_page,prior3_sale_price,prior3_sale_date,prior3_book_page,data_quality_notes
CORRECTED_COMPREHENSIVE,91-170,91,170,,0.0,2016-11-18,Q,4251/0171,190000.0,2007-12-20,3478/0635,190000.0,2002-11-08,02736/0306,0.0,2002-11-05,2736/0306,Comprehensive sales data from multiple sources - VALIDATED: 2 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-171,91,171,,195000.0,2011-12-16,Q,3844/0327,199000.0,2003-10-10,2906/0188,199000.0,2001-12-17,02612/0158,147500.0,2001-12-13,2612/0158,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-171,91,171,,195000.0,2011-12-16,Q,3844/0327,199000.0,2003-10-10,2906/0188,199000.0,2001-12-17,02612/0158,147500.0,2001-12-13,2612/0158,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-172,91,172,,260000.0,2017-01-31,Q,4265/0241,240533.0,2014-08-12,4078/0222,240533.0,2010-06-25,3711/0359,255000.0,2006-11-30,03353/0959,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-172,91,172,,260000.0,2017-01-31,Q,4265/0241,240533.0,2014-08-12,4078/0222,240533.0,2010-06-25,3711/0359,255000.0,2006-11-30,03353/0959,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-173,91,173,,278000.0,2020-11-20,Q,4577/484,104500.0,1999-09-22,2420/0917,104500.0,1995-12-18,02173/0845,81000.0,1995-12-18,2173/0845,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-173,91,173,,278000.0,2020-11-20,Q,4577/484,104500.0,1999-09-22,2420/0917,104500.0,1995-12-18,02173/0845,81000.0,1995-12-18,2173/0845,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-174,91,174,,0.0,2025-06-12,U,4941/0804,0.0,2025-02-03,4917/0398,0.0,1989-09-19,1823/0700,116730.0,1901-01-01,0/0,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-174,91,174,,0.0,2025-06-12,U,4941/0804,0.0,2025-02-03,4917/0398,0.0,1989-09-19,1823/0700,116730.0,1901-01-01,0/0,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-175,91,175,,168300.0,2019-07-29,Q,4453/0941,0.0,1999-11-23,0/0,0.0,1987-09-10,01693/0233,0.0,1987-09-10,1693/0233,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-175,91,175,,168300.0,2019-07-29,Q,4453/0941,0.0,1999-11-23,0/0,0.0,1987-09-10,01693/0233,,,,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-176,91,176,,0.0,1900-01-01,Q,0/0,nan,,nan,nan,,nan,nan,,nan,Original NHDRA flat file data
