Parcel ID,Assessment Year,Total Assessed Value,Land Assessed Value,Building Assessed Value,Data Source,Assessment Date,Tax Year
3-21,2022,65600.0,65600.0,0.0,City Parcel Master,2022-01-01,2022
3-21,2020,65600.0,65600.0,0.0,NHDRA,2020-01-01,2020
3-22,2022,1101800.0,220500.0,881300.0,City Parcel Master,2022-01-01,2022
3-22,2020,1101800.0,220500.0,881300.0,NHDRA,2020-01-01,2020
3-23,2022,470400.0,142300.0,328100.0,City Parcel Master,2022-01-01,2022
3-23,2020,470300.0,142200.0,328100.0,NHDRA,2020-01-01,2020
3-24,2022,455600.0,138700.0,316400.0,City Parcel Master,2022-01-01,2022
3-24,2020,455600.0,138700.0,316400.0,NHDRA,2020-01-01,2020
3-28,2022,985900.0,173300.0,785000.0,City Parcel Master,2022-01-01,2022
3-28,2020,985900.0,173300.0,785000.0,NHDRA,2020-01-01,2020
3-33,2022,717300.0,160200.0,557100.0,City Parcel Master,2022-01-01,2022
3-33,2020,717300.0,160200.0,557100.0,NHDRA,2020-01-01,2020
3-34,2022,685500.0,159300.0,526200.0,City Parcel Master,2022-01-01,2022
3-34,2020,659500.0,159500.0,500000.0,NHDRA,2020-01-01,2020
3-35,2022,1247000.0,1247000.0,0.0,City Parcel Master,2022-01-01,2022
3-35,2020,1307000.0,1307000.0,0.0,NHDRA,2020-01-01,2020
3-36,2022,524500.0,140800.0,383700.0,City Parcel Master,2022-01-01,2022
3-36,2020,524400.0,140700.0,383700.0,NHDRA,2020-01-01,2020
3-37,2022,691500.0,140100.0,551400.0,City Parcel Master,2022-01-01,2022
3-37,2020,691700.0,140300.0,551400.0,NHDRA,2020-01-01,2020
3-38,2022,566900.0,134400.0,432500.0,City Parcel Master,2022-01-01,2022
3-38,2020,564200.0,134400.0,429800.0,NHDRA,2020-01-01,2020
3-39,2022,759600.0,159400.0,600200.0,City Parcel Master,2022-01-01,2022
3-39,2020,755000.0,159400.0,595600.0,NHDRA,2020-01-01,2020
3-40,2022,609900.0,159200.0,449500.0,City Parcel Master,2022-01-01,2022
3-40,2020,609900.0,159200.0,449500.0,NHDRA,2020-01-01,2020
3-41,2022,467900.0,139400.0,327300.0,City Parcel Master,2022-01-01,2022
3-41,2020,467800.0,139300.0,327300.0,NHDRA,2020-01-01,2020
3-42,2022,448200.0,140100.0,307800.0,City Parcel Master,2022-01-01,2022
3-42,2020,448400.0,140300.0,307800.0,NHDRA,2020-01-01,2020
